plan_name,plan_code,data_allowance_raw,data_allowance_normalized,qos_raw,qos_speed,voice_allowance,sms_allowance,base_price_text,base_price,benefit_price_text,benefit_price,plan_type,partnership_flag,network_type,product_group,source_url,collected_at
모두다 맘껏 7GB+(쿠팡캐시 5000원),PL2635398,7GB+최대1Mbps,7GB,7GB+최대1Mbps,1Mbps,무제한,기본제공,"월 35,200원",35200,"혜택가 월 18,500원",18500,유심,true,LTE,"쿠팡, 매월 쿠팡 캐시 5,000원",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:51.658Z
모두다 맘껏 15GB+(쿠팡캐시 5000원),PL2635400,15GB+최대1Mbps,15GB,15GB+최대1Mbps,1Mbps,무제한,기본제공,"월 48,400원",48400,"혜택가 월 23,700원",23700,유심,true,5G,"쿠팡, 매월 쿠팡 캐시 5,000원",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:51.659Z
모두다 맘껏 10GB+(쿠팡캐시 5000원),PL2635399,10GB+최대1Mbps,10GB,10GB+최대1Mbps,1Mbps,무제한,기본제공,"월 39,600원",39600,"혜택가 월 21,200원",21200,유심,true,LTE,"쿠팡, 매월 쿠팡 캐시 5,000원",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:51.659Z
모두다 맘껏 7GB+(밀리의 서재 FREE),PL235Q981,7GB+최대1Mbps,7GB,7GB+최대1Mbps,1Mbps,무제한,기본제공,"월 35,200원",35200,"혜택가 월 16,300원",16300,유심,true,LTE,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
모두다 맘껏 11GB+(밀리의 서재 FREE),PL233R494,11GB+일2GB+최대3Mbps,11GB+일2GB,11GB+일2GB+최대3Mbps,3Mbps,무제한,기본제공,"월 51,000원",51000,"혜택가 월 33,100원",33100,유심,true,LTE,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
모두다 맘껏 10GB+(밀리의 서재 FREE),PL236M153,10GB+최대1Mbps,10GB,10GB+최대1Mbps,1Mbps,무제한,기본제공,"월 39,600원",39600,"혜택가 월 19,000원",19000,유심,true,LTE,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
모두다 맘껏 15GB+(밀리의 서재 FREE),PL236M150,15GB+최대1Mbps,15GB,15GB+최대1Mbps,1Mbps,무제한,기본제공,"월 48,400원",48400,"혜택가 월 21,500원",21500,유심,true,5G,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
데이터 맘껏 15GB+/100분(밀리의 서재 FREE),PL236N158,15GB+최대3Mbps,15GB,15GB+최대3Mbps,3Mbps,100분,100건,"월 47,300원",47300,"혜택가 월 25,400원",25400,유심,true,5G,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
모두다 맘껏 100GB+(밀리의 서재 FREE),PL235Q972,100GB+최대5Mbps,100GB,100GB+최대5Mbps,5Mbps,무제한,기본제공,"월 66,000원",66000,"혜택가 월 38,300원",38300,유심,true,LTE,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
5G 모두다 맘껏 70GB+(밀리의 서재 FREE),PL238P570,70GB+최대1Mbps,70GB,70GB+최대1Mbps,1Mbps,무제한,기본제공,"월 64,000원",64000,"혜택가 월 39,100원",39100,유심,true,5G,"밀리의 서재, 전자책 정기 구독 혜택 제공",https://www.ktmmobile.com/rate/rateList.do,2026-05-21T09:40:52.312Z
