operator,plan_name,plan_code,data_allowance_raw,data_allowance_normalized,qos_raw,qos_speed,voice_allowance,sms_allowance,base_price_text,base_price,benefit_price_text,benefit_price,plan_type,partnership_flag,network_type,product_group,source_url,collected_at
"","The 착한 데이터 유심 11GB","PDLB000041","11GB+일2GB","11GB+일2GB","11GB+일2GB+3Mbps","3Mbps","무제한","무제한","월 32,990원",32990,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.401Z"
"","DATA 걱정없는 유심 7GB","PDLB000179","7GB","7GB","7GB+2Mbps","2Mbps","무제한","무제한","월 15,900원",15900,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","DATA 걱정없는 유심 1GB","PDLB000212","1GB","1GB","1GB+2Mbps","2Mbps","무제한","무제한","월 7,500원",7500,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 유심 일5GB","PDLB000328","일5GB","일5GB","일5GB+4Mbps","4Mbps","무제한","무제한","월 41,390원",41390,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 유심 10GB","PDLB000330","10GB","10GB","10GB+2Mbps","2Mbps","무제한","무제한","월 21,300원",21300,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 유심 7GB","PDLB000329","7GB","7GB","7GB+2Mbps","2Mbps","무제한","무제한","월 18,330원",18330,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 유심 11GB","PDLB000332","11GB+일2GB","11GB+일2GB","11GB+일2GB+3Mbps","3Mbps","무제한","무제한","월 35,730원",35730,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 유심 1GB","PDLB000334","1GB","1GB","1GB+2Mbps","2Mbps","무제한","무제한","월 9,900원",9900,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 유심 15GB 100분","PDLB000333","15GB","15GB","15GB+3Mbps","3Mbps","100분","100건","월 31,220원",31220,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 데이터 더주는 유심 7GB","PDLB000337","7GB","7GB","7GB+2Mbps","2Mbps","무제한","무제한","월 19,800원",19800,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 데이터 더주는 유심 11GB","PDLB000340","11GB+일2GB","11GB+일2GB","11GB+일2GB+3Mbps","3Mbps","무제한","무제한","월 37,330원",37330,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 데이터 더주는 유심 일5GB","PDLB000336","일5GB","일5GB","일5GB+4Mbps","4Mbps","무제한","무제한","월 43,050원",43050,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","쿠폰팩 데이터 더주는 유심 10GB","PDLB000338","10GB","10GB","10GB+2Mbps","2Mbps","무제한","무제한","월 22,900원",22900,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","데이터 더주는 유심 7GB","PDLB000314","7GB","7GB","7GB+2Mbps","2Mbps","무제한","무제한","월 17,400원",17400,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","데이터 더주는 유심 11GB","PDLB000317","11GB+일2GB","11GB+일2GB","11GB+일2GB+3Mbps","3Mbps","무제한","무제한","월 34,930원",34930,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
"","데이터 더주는 유심 15GB 100분","PDLB000318","15GB","15GB","15GB+3Mbps","3Mbps","100분","100건","월 29,900원",29900,"","",["유심"],false,"LTE","LTE USIM 요금제","https://direct.lghellovision.net/rate/rateViewUsim.do","2026-06-01T03:09:08.404Z"
